"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "MS SQL", "comment", "blank", "total"
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260211013830_add_preferred_schedule_days_to_recurring_jobs.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 12, 3, 33
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260211020837_add_job_schedule_quote_and_shared_portal.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 34, 13, 129
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260214173143_add_lost_and_archived_statuses.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 2, 16
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260214174757_fix_fk_indexes_rls_performance_and_cleanup.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 287, 43, 21, 351
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260214175355_fix_security_issues_indexes_policies_view.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 27, 9, 107
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/temp_migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 789, 722, 704, 2215
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/tailwind.config.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 92
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 4, 32
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 3, 23
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/vite.config.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/vitest.config.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"Total", "-", 28168, 9231, 208, 31, 16, 8323, 45, 41, 1, 9784, 4723, 7084, 67655
